movie_name,ranking,intro,score
肖申克的救赎,1,,9.6
霸王别姬,2,,9.5
这个杀手不太冷,3,,9.4
阿甘正传,4,,9.4
美丽人生,5,,9.5
千与千寻,6,,9.2
泰坦尼克号,7,,9.2
辛德勒的名单,8,,9.4
盗梦空间,9,,9.3
机器人总动员,10,,9.3
海上钢琴师,11,,9.2
三傻大闹宝莱坞,12,,9.2
忠犬八公的故事,13,,9.2
放牛班的春天,14,,9.2
大话西游之大圣娶亲,15,,9.2
教父,16,,9.2
龙猫,17,,9.1
楚门的世界,18,,9.1
熔炉,19,,9.2
乱世佳人,20,,9.2
触不可及,21,,9.1
星际穿越,22,,9.2
无间道,23,,9.0
当幸福来敲门,24,,8.9
天堂电影院,25,,9.1
怦然心动,26,,8.9
十二怒汉,27,,9.4
搏击俱乐部,28,,9.0
少年派的奇幻漂流,29,,9.0
指环王3：王者无敌,30,,9.1
鬼子来了,31,,9.2
蝙蝠侠：黑暗骑士,32,,9.0
活着,33,,9.1
天空之城,34,,9.0
罗马假日,35,,8.9
大话西游之月光宝盒,36,,8.9
飞屋环游记,37,,8.9
两杆大烟枪,38,,9.1
窃听风暴,39,,9.1
疯狂动物城,40,,9.2
飞越疯人院,41,,9.0
控方证人,42,,9.6
闻香识女人,43,,8.9
海豚湾,44,,9.3
哈尔的移动城堡,45,,8.9
V字仇杀队,46,,8.8
辩护人,47,,9.1
教父2,48,,9.1
死亡诗社,49,,8.9
美丽心灵,50,,8.9
指环王2：双塔奇兵,51,,9.0
指环王1：魔戒再现,52,,8.9
情书,53,,8.8
饮食男女,54,,9.1
美国往事,55,,9.1
天使爱美丽,56,,8.7
狮子王,57,,8.9
钢琴家,58,,9.0
七宗罪,59,,8.7
被嫌弃的松子的一生,60,,8.9
小鞋子,61,,9.2
致命魔术,62,,8.8
素媛,63,,9.1
勇敢的心,64,,8.8
音乐之声,65,,8.9
摔跤吧！爸爸,66,,9.1
剪刀手爱德华,67,,8.7
本杰明·巴顿奇事,68,,8.7
低俗小说,69,,8.8
西西里的美丽传说,70,,8.7
黑客帝国,71,,8.8
拯救大兵瑞恩,72,,8.9
沉默的羔羊,73,,8.7
看不见的客人,74,,8.8
入殓师,75,,8.8
蝴蝶效应,76,,8.7
玛丽和马克思,77,,8.9
让子弹飞,78,,8.7
春光乍泄,79,,8.8
大闹天宫,80,,9.2
心灵捕手,81,,8.8
幽灵公主,82,,8.8
阳光灿烂的日子,83,,8.8
第六感,84,,8.8
末代皇帝,85,,8.9
重庆森林,86,,8.7
禁闭岛,87,,8.6
大鱼,88,,8.7
狩猎,89,,9.0
射雕英雄传之东成西就,90,,8.7
布达佩斯大饭店,91,,8.8
甜蜜蜜,92,,8.8
致命ID,93,,8.6
哈利·波特与魔法石,94,,8.7
一一,95,,8.9
阳光姐妹淘,96,,8.8
告白,97,,8.7
断背山,98,,8.6
上帝之城,99,,8.9
猫鼠游戏,100,,8.7
加勒比海盗,101,,8.6
摩登时代,102,,9.2
阿凡达,103,,8.6
爱在黎明破晓前,104,,8.7
穿条纹睡衣的男孩,105,,8.9
风之谷,106,,8.8
爱在日落黄昏时,107,,8.7
消失的爱人,108,,8.7
侧耳倾听,109,,8.8
超脱,110,,8.8
倩女幽魂,111,,8.6
红辣椒,112,,8.9
萤火虫之墓,113,,8.7
驯龙高手,114,,8.7
恐怖直播,115,,8.7
菊次郎的夏天,116,,8.7
幸福终点站,117,,8.6
岁月神偷,118,,8.6
借东西的小人阿莉埃蒂,119,,8.7
七武士,120,,9.2
神偷奶爸,121,,8.5
小森林 夏秋篇,122,,8.9
海洋,123,,9.0
喜剧之王,124,,8.5
真爱至上,125,,8.5
杀人回忆,126,,8.6
电锯惊魂,127,,8.7
谍影重重3,128,,8.7
贫民窟的百万富翁,129,,8.5
雨人,130,,8.6
东邪西毒,131,,8.6
记忆碎片,132,,8.5
喜宴,133,,8.8
怪兽电力公司,134,,8.6
疯狂原始人,135,,8.7
燃情岁月,136,,8.7
黑天鹅,137,,8.5
虎口脱险,138,,8.9
英雄本色,139,,8.7
卢旺达饭店,140,,8.8
恋恋笔记本,141,,8.5
傲慢与偏见,142,,8.4
猜火车,143,,8.5
魂断蓝桥,144,,8.8
7号房的礼物,145,,8.7
穿越时空的少女,146,,8.6
教父3,147,,8.8
萤火之森,148,,8.7
哈利·波特与死亡圣器(下),149,,8.6
海边的曼彻斯特,150,,8.6
完美的世界,151,,9.0
纵横四海,152,,8.7
雨中曲,153,,8.9
玩具总动员3,154,,8.8
小森林 冬春篇,155,,8.9
荒蛮故事,156,,8.8
花样年华,157,,8.5
二十二,158,,8.8
我是山姆,159,,8.8
唐伯虎点秋香,160,,8.4
超能陆战队,161,,8.6
时空恋旅人,162,,8.6
人工智能,163,,8.6
浪潮,164,,8.7
冰川时代,165,,8.4
蝙蝠侠：黑暗骑士崛起,166,,8.6
香水,167,,8.4
朗读者,168,,8.5
心迷宫,169,,8.6
罗生门,170,,8.7
追随,171,,8.9
一次别离,172,,8.7
撞车,173,,8.6
爆裂鼓手,174,,8.6
未麻的部屋,175,,8.8
可可西里,176,,8.7
战争之王,177,,8.5
地球上的星星,178,,8.8
梦之安魂曲,179,,8.7
恐怖游轮,180,,8.3
达拉斯买家俱乐部,181,,8.6
阿飞正传,182,,8.5
被解救的姜戈,183,,8.5
牯岭街少年杀人事件,184,,8.7
谍影重重2,185,,8.5
谍影重重,186,,8.5
碧海蓝天,187,,8.7
魔女宅急便,188,,8.5
惊魂记,189,,8.9
忠犬八公物语,190,,9.0
秒速5厘米,191,,8.3
再次出发之纽约遇见你,192,,8.5
青蛇,193,,8.4
海盗电台,194,,8.6
哪吒闹海,195,,8.9
东京物语,196,,9.2
头脑特工队,197,,8.7
绿里奇迹,198,,8.7
血战钢锯岭,199,,8.7
末路狂花,200,,8.7
房间,201,,8.8
勇闯夺命岛,202,,8.5
终结者2：审判日,203,,8.6
源代码,204,,8.3
这个男人来自地球,205,,8.5
新龙门客栈,206,,8.5
卡萨布兰卡,207,,8.6
黑客帝国3：矩阵革命,208,,8.5
模仿游戏,209,,8.5
荒野生存,210,,8.6
迁徙的鸟,211,,9.1
变脸,212,,8.4
城市之光,213,,9.2
E.T. 外星人,214,,8.5
美国丽人,215,,8.4
发条橙,216,,8.4
黄金三镖客,217,,9.1
无耻混蛋,218,,8.4
初恋这件小事,219,,8.3
英国病人,220,,8.4
燕尾蝶,221,,8.6
一个叫欧维的男人决定去死,222,,8.7
爱在午夜降临前,223,,8.8
叫我第一名,224,,8.6
非常嫌疑犯,225,,8.6
穆赫兰道,226,,8.3
勇士,227,,8.9
你的名字。,228,,8.4
无敌破坏王,229,,8.6
上帝也疯狂,230,,8.6
疯狂的石头,231,,8.2
国王的演讲,232,,8.3
无人知晓,233,,9.0
血钻,234,,8.5
步履不停,235,,8.8
蓝色大门,236,,8.3
枪火,237,,8.6
大卫·戈尔的一生,238,,8.6
爱·回家,239,,9.0
彗星来的那一夜,240,,8.4
遗愿清单,241,,8.5
我爱你,242,,9.0
千钧一发,243,,8.7
荒岛余生,244,,8.5
麦兜故事,245,,8.5
请以你的名字呼唤我,246,,8.9
暖暖内含光,247,,8.4
曾经,248,,8.3
月球,249,,8.5
蝴蝶,250,,8.6
